timestamp,event_id,host,user,pid,max_severity,mitre_techniques,disposition,action_taken,actions_summary
2026-07-14T12:36:38.480816+00:00,evt-001,WKSTN-042,jsmith,999901,high,T1105,alert only - detect_only mode,False,
2026-07-14T12:36:38.480827+00:00,evt-002,WKSTN-017,agupta,999902,critical,T1562.001,alert only - detect_only mode,False,
2026-07-14T12:36:38.480836+00:00,evt-003,WKSTN-005,backup_svc,999903,none,,benign - no action,False,
2026-07-14T12:36:38.480840+00:00,evt-004,WKSTN-088,mkhan,999904,critical,T1003,alert only - detect_only mode,False,
2026-07-14T12:36:38.480844+00:00,evt-005,WKSTN-023,rwilliams,999905,none,,benign - no action,False,
2026-07-14T12:36:38.480847+00:00,evt-006,WKSTN-061,tnovak,999906,none,,benign - no action,False,
2026-07-14T12:36:38.480850+00:00,evt-007,WKSTN-042,jsmith,999907,high,T1027,alert only - detect_only mode,False,
2026-07-14T12:36:38.480853+00:00,evt-008,WKSTN-030,svc_monitor,999908,none,,benign - no action,False,
2026-07-14T12:36:38.480855+00:00,evt-009,WKSTN-074,dcohen,999909,medium,T1562,alert only - detect_only mode,False,
2026-07-14T12:36:38.480858+00:00,evt-010,WKSTN-011,helpdesk1,999910,none,,benign - no action,False,
